official_destination_id,official_destination_name,official_destination_path,official_regions,official_region_codes,official_coordinate_count,official_latitude_first,official_longitude_first,candidate_resort_id,entity_resolution_method,entity_resolution_status,current_member_snapshot,snapshot_retrieval_date,source_id,source_url,source_sha256,resort_name_canonical,cluster_id
1805,Aeschiallmend,/fr/stations/aeschiallmend-1805,Berne,BE,1,46.64742921,7.726616478,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
4,Anzère,/fr/stations/anzere-4,Valais,VS,1,46.29536262,7.394973804,anzere,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Anzère,SKI_CLUSTER_020
118,Arolla,/fr/stations/espace-dent-blanche-arolla-118,Valais,VS,1,46.02210383,7.480742419,arolla,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Arolla,SKI_CLUSTER_070
1800,Axalp,/fr/stations/axalp-1800,Berne,BE,1,46.71530973,8.040098693,axalp_brienz,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Axalp Brienz,SKI_CLUSTER_095
4444,Balmberg,/fr/stations/balmberg-4444,Soleure,SO,1,47.26594371,7.543526064,balmberg,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Balmberg,SKI_CLUSTER_108
1799,Beatenberg-Hohwald,/fr/stations/beatenberg-hohwald-1799,Berne,BE,1,46.70787791,7.815691321,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
4447,Bergbahnen Gstaad,/fr/stations/bergbahnen-gstaad-4447,Berne|Vaud,BE|VD,1,46.46764607111208,7.282322020344294,gstaad,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Gstaad,SKI_CLUSTER_016
5567,Bernex,/fr/stations/bernex-5567,France,France,1,46.356143118829706,6.689721459767422,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
4445,Blatten-Belalp,/fr/stations/blatten-belalp-4445,Valais,VS,1,46.3717625,7.974528353,belalp,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Belalp,SKI_CLUSTER_009
12,Bugnenets-Savagnières,/fr/stations/bugnenets-savagnieres-12,Neuchâtel,NE,1,47.12724069,7.006993922,les_bugnenets_savagnieres,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Les Bugnenets - Savagnières,SKI_CLUSTER_042
